0.000,2276.042
0.001,2276.982
0.002,2279.782
0.003,2284.411
0.004,2290.836
0.005,2299.026
0.006,2308.950
0.007,2320.576
0.008,2333.872
0.009,2348.807
0.010,2365.349
0.011,2383.467
0.012,2403.130
0.013,2424.305
0.014,2446.961
0.015,2471.066
0.016,2496.590
0.017,2523.500
0.018,2551.765
0.019,2581.353
0.020,2612.232
0.021,2644.372
0.022,2677.741
0.023,2712.306
0.024,2748.037
0.025,2784.902
0.026,2822.869
0.027,2861.908
0.028,2901.985
0.029,2943.070
0.030,2985.131
0.031,3028.137
0.032,3072.055
0.033,3116.855
0.034,3162.505
0.035,3208.974
0.036,3256.229
0.037,3304.239
0.038,3352.973
0.039,3402.399
0.040,3452.486
0.041,3503.201
0.042,3554.514
0.043,3606.393
0.044,3658.806
0.045,3711.721
0.046,3765.108
0.047,3818.935
0.048,3873.169
0.049,3927.780
0.050,3982.736
0.051,4038.006
0.052,4093.557
0.053,4149.358
0.054,4205.378
0.055,4261.585
0.056,4317.948
0.057,4374.435
0.058,4431.014
0.059,4487.654
0.060,4544.323
0.061,4600.989
0.062,4657.616
0.063,4714.170
0.064,4770.614
0.065,4826.914
0.066,4883.035
0.067,4938.940
0.068,4994.597
0.069,5049.968
0.070,5105.018
0.071,5159.713
0.072,5214.018
0.073,5267.896
0.074,5321.314
0.075,5374.235
0.076,5426.624
0.077,5478.447
0.078,5529.668
0.079,5580.252
0.080,5630.163
0.081,5679.367
0.082,5727.828
0.083,5775.511
0.084,5822.380
0.085,5868.402
0.086,5913.539
0.087,5957.758
0.088,6001.023
0.089,6043.298
0.090,6084.549
0.091,6124.741
0.092,6163.837
0.093,6201.803
0.094,6238.604
0.095,6274.205
0.096,6308.570
0.097,6341.664
0.098,6373.452
0.099,6403.898
0.100,6432.968
0.101,6460.626
0.102,6486.837
0.103,6511.566
0.104,6534.778
0.105,6556.436
0.106,6576.508
0.107,6594.956
0.108,6611.746
0.109,6626.842
0.110,6640.210
0.111,6651.814
0.112,6661.619
0.113,6669.589
0.114,6675.691
0.115,6679.887
0.116,6682.144
0.117,6682.440
0.118,6680.849
0.119,6677.473
0.120,6672.417
0.121,6665.786
0.122,6657.684
0.123,6648.215
0.124,6637.485
0.125,6625.596
0.126,6612.655
0.127,6598.765
0.128,6584.031
0.129,6568.557
0.130,6552.448
0.131,6535.808
0.132,6518.741
0.133,6501.352
0.134,6483.746
0.135,6466.027
0.136,6448.299
0.137,6430.666
0.138,6413.234
0.139,6396.106
0.140,6379.356
0.141,6363.000
0.142,6347.053
0.143,6331.526
0.144,6316.433
0.145,6301.787
0.146,6287.600
0.147,6273.885
0.148,6260.655
0.149,6247.923
0.150,6235.702
0.151,6224.003
0.152,6212.841
0.153,6202.228
0.154,6192.177
0.155,6182.700
0.156,6173.810
0.157,6165.521
0.158,6157.844
0.159,6150.794
0.160,6144.382
0.161,6138.621
0.162,6133.525
0.163,6129.105
0.164,6125.376
0.165,6122.349
0.166,6120.037
0.167,6118.450
0.168,6117.573
0.169,6117.384
0.170,6117.862
0.171,6118.983
0.172,6120.725
0.173,6123.066
0.174,6125.984
0.175,6129.456
0.176,6133.461
0.177,6137.975
0.178,6142.977
0.179,6148.445
0.180,6154.355
0.181,6160.686
0.182,6167.416
0.183,6174.521
0.184,6181.981
0.185,6189.772
0.186,6197.872
0.187,6206.260
0.188,6214.912
0.189,6223.807
0.190,6232.921
0.191,6242.234
0.192,6251.722
0.193,6261.364
0.194,6271.136
0.195,6281.018
0.196,6290.985
0.197,6301.017
0.198,6311.091
0.199,6321.184
0.200,6331.275
0.201,6341.340
0.202,6351.358
0.203,6361.307
0.204,6371.164
0.205,6380.907
0.206,6390.513
0.207,6399.961
0.208,6409.227
0.209,6418.290
0.210,6427.128
0.211,6435.718
0.212,6444.037
0.213,6452.065
0.214,6459.777
0.215,6467.153
0.216,6474.169
0.217,6480.803
0.218,6487.034
0.219,6492.839
0.220,6498.196
0.221,6503.099
0.222,6507.550
0.223,6511.552
0.224,6515.109
0.225,6518.222
0.226,6520.895
0.227,6523.131
0.228,6524.931
0.229,6526.301
0.230,6527.241
0.231,6527.755
0.232,6527.846
0.233,6527.516
0.234,6526.769
0.235,6525.607
0.236,6524.033
0.237,6522.051
0.238,6519.662
0.239,6516.869
0.240,6513.676
0.241,6510.086
0.242,6506.101
0.243,6501.723
0.244,6496.957
0.245,6491.804
0.246,6486.268
0.247,6480.351
0.248,6474.057
0.249,6467.387
0.250,6460.346
0.251,6452.935
0.252,6445.158
0.253,6437.017
0.254,6428.516
0.255,6419.656
0.256,6410.442
0.257,6400.875
0.258,6390.960
0.259,6380.697
0.260,6370.091
0.261,6359.144
0.262,6347.860
0.263,6336.240
0.264,6324.288
0.265,6312.006
0.266,6299.398
0.267,6286.466
0.268,6273.213
0.269,6259.642
0.270,6245.756
0.271,6231.557
0.272,6217.049
0.273,6202.234
0.274,6187.116
0.275,6171.696
0.276,6155.978
0.277,6139.965
0.278,6123.659
0.279,6107.064
0.280,6090.182
0.281,6073.016
0.282,6055.569
0.283,6037.843
0.284,6019.843
0.285,6001.569
0.286,5983.026
0.287,5964.216
0.288,5945.142
0.289,5925.806
0.290,5906.213
0.291,5886.363
0.292,5866.261
0.293,5845.910
0.294,5825.311
0.295,5804.468
0.296,5783.384
0.297,5762.061
0.298,5740.503
0.299,5718.711
0.300,5696.690
0.301,5674.442
0.302,5651.970
0.303,5629.276
0.304,5606.363
0.305,5583.235
0.306,5559.894
0.307,5536.343
0.308,5512.585
0.309,5488.622
0.310,5464.458
0.311,5440.095
0.312,5415.536
0.313,5390.785
0.314,5365.843
0.315,5340.714
0.316,5315.400
0.317,5289.905
0.318,5264.231
0.319,5238.381
0.320,5212.359
0.321,5186.175
0.322,5159.848
0.323,5133.394
0.324,5106.830
0.325,5080.174
0.326,5053.442
0.327,5026.652
0.328,4999.820
0.329,4972.964
0.330,4946.102
0.331,4919.249
0.332,4892.424
0.333,4865.642
0.334,4838.923
0.335,4812.281
0.336,4785.735
0.337,4759.302
0.338,4732.999
0.339,4706.843
0.340,4680.851
0.341,4655.040
0.342,4629.427
0.343,4604.030
0.344,4578.865
0.345,4553.950
0.346,4529.301
0.347,4504.936
0.348,4480.873
0.349,4457.127
0.350,4433.716
0.351,4410.658
0.352,4387.969
0.353,4365.666
0.354,4343.768
0.355,4322.289
0.356,4301.249
0.357,4280.664
0.358,4260.550
0.359,4240.926
0.360,4221.808
0.361,4203.213
0.362,4185.159
0.363,4167.663
0.364,4150.741
0.365,4134.411
0.366,4118.690
0.367,4103.595
0.368,4089.143
0.369,4075.351
0.370,4062.237
0.371,4049.817
0.372,4038.108
0.373,4027.129
0.374,4016.895
0.375,4007.424
0.376,3998.733
0.377,3990.839
0.378,3983.760
0.379,3977.512
0.380,3972.112
0.381,3967.578
0.382,3963.926
0.383,3961.175
0.384,3959.340
0.385,3958.439
0.386,3958.490
0.387,3959.508
0.388,3961.512
0.389,3964.518
0.390,3968.515
0.391,3973.439
0.392,3979.224
0.393,3985.804
0.394,3993.110
0.395,4001.076
0.396,4009.635
0.397,4018.720
0.398,4028.264
0.399,4038.199
0.400,4048.459
0.401,4058.977
0.402,4069.685
0.403,4080.517
0.404,4091.405
0.405,4102.283
0.406,4113.083
0.407,4123.739
0.408,4134.183
0.409,4144.348
0.410,4154.168
0.411,4163.602
0.412,4172.653
0.413,4181.326
0.414,4189.628
0.415,4197.564
0.416,4205.141
0.417,4212.363
0.418,4219.237
0.419,4225.769
0.420,4231.965
0.421,4237.830
0.422,4243.371
0.423,4248.593
0.424,4253.503
0.425,4258.105
0.426,4262.407
0.427,4266.414
0.428,4270.131
0.429,4273.565
0.430,4276.722
0.431,4279.607
0.432,4282.226
0.433,4284.586
0.434,4286.692
